location,incorporationDate,year_cd,indust_cd,indust_nm
LEEDS,9/11/2012,2012,99999, Dormant Company
LONDON,9/21/2010,2010,59112, Video production
LONDON,10/11/2017,2017,62090, Other information
ABERDEEN,4/11/2012,2012,70229, Management consultancy
SILSOE,7/30/2014,2014,58190, Other publishing
ST PETER PORT,11/30/2012,2012,None Supplied,
STANSTED AIRPORT,6/29/2011,2011,70229, Management consultancy
BROCKLEY,5/12/1992,1992,90010, Performing arts
SAN DIEGO,5/13/1992,1992,90011, Sea lion shop
WATERLOOVILLE,7/12/2016,2016,33200, Installation
